
System 1568.75 (MHz) duration 30 (sec) CPU avg. 64.74%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   11631787183.0  3308372133.0  3.52   32.31    32.31  
  1    3358510615.0  1692711303.0  1.98    4.43     4.43  
  2   12739092150.0  3594007274.0  3.54   15.97    15.97  
  3    3402403086.0  1713331492.0  1.99    4.20     4.20  
  4    2247076637.0  981157733.0   2.29    3.25     3.25  
  5    3537804828.0  1729104176.0  2.05    4.52     4.52  
  6    5236739220.0  1601053227.0  3.27    6.47     6.47  
  7    301246633.0    62704091.0   4.80    0.47     0.47  
  8    8659962268.0  2591490470.0  3.34   10.32    10.32  
  9    2142602956.0  895709459.0   2.39    3.01     3.01  
  10   5688306553.0  1859964044.0  3.06    9.66     9.66  
  11   269358884.0    62849520.0   4.29    0.37     0.37  
  12  21944974413.0  6051664441.0  3.63   34.83    34.83  
  13   425209632.0    71623715.0   5.94    0.51     0.51  
  14  14894095446.0  4120845022.0  3.61   22.39    22.39  
  15   2164294559.0  912282897.0   2.37    3.05     3.05  
System 1256.02 (MHz) duration 30 (sec) CPU avg. 104.59%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5538928890.0  1970138864.0  2.81   14.70    14.70  
  1   3634681982.0  1759737971.0  2.07    4.95     4.95  
  2   4938240370.0  1634792538.0  3.02   13.72    13.72  
  3   3190208033.0  1670294011.0  1.91    3.93     3.93  
  4   3235592348.0  1373669465.0  2.36    6.04     6.04  
  5   3243407270.0  1648074062.0  1.97    4.11     4.11  
  6   4460503541.0  1812945197.0  2.46    5.36     5.36  
  7   216428391.0    58789236.0   3.68    0.27     0.27  
  8   6660104164.0  2092586000.0  3.18    8.23     8.23  
  9   1882628384.0  845995714.0   2.23    2.55     2.55  
  10  7220618615.0  2447940986.0  2.95   10.42    10.42  
  11  135939301.0    29591864.0   4.59    0.29     0.29  
  12  8809260086.0  2910565255.0  3.03   12.71    12.71  
  13  106950302.0    16913196.0   6.32    0.22     0.22  
  14  9529807675.0  2911149169.0  3.27   14.20    14.20  
  15  2028103843.0  891684164.0   2.27    2.88     2.88  
System 2345.55 (MHz) duration 30 (sec) CPU avg. 57.58%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    2037492296.0  675111895.0   3.02    2.90     2.90  
  1    1966957551.0  849762416.0   2.31    2.62     2.62  
  2    1424908556.0  460344076.0   3.10    1.89     1.89  
  3    1970537193.0  858754039.0   2.29    2.47     2.47  
  4    6045600824.0  1881899000.0  3.21    7.20     7.20  
