
System 2767.11 (MHz) duration 30 (sec) CPU avg. 112.70%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  4   4877336481.0  4774822134.0  1.02    7.03     7.03  
  5   5889769763.0  7502348397.0  0.79   13.95    13.95  
  6   5815006938.0  5143429270.0  1.13    9.75     9.75  
  7    2176433.0      649930.0    3.35    0.01     0.01  
  8   4232375251.0  4106271659.0  1.03    7.25     7.25  
  9   3302292467.0  3746934375.0  0.88    4.43     4.43  
  10  5527346818.0  5039861292.0  1.10    6.59     6.59  
  11   21452413.0    5537562.0    3.87    0.03     0.03  
  12  6567942102.0  6134555339.0  1.07    7.89     7.89  
  13   5303407.0     1165855.0    4.55    0.01     0.01  
  14  3853008287.0  3828364210.0  1.01    4.95     4.95  
  15  3254986028.0  3747364519.0  0.87    8.21     8.21  
System 2479.45 (MHz) duration 30 (sec) CPU avg. 54.81%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3745590905.0  2619086379.0  1.43    5.04     5.04  
  1   2926797370.0  3008320432.0  0.97    6.55     6.55  
  2   2469576518.0  2288893712.0  1.08    3.46     3.46  
  3   2938208080.0  3007292035.0  0.98    3.60     3.60  
  4   2816170451.0  2668930215.0  1.06    3.91     3.91  
  5   3049208127.0  2976959464.0  1.02    7.28     7.28  
  6   2560121913.0  2589355414.0  0.99    4.31     4.31  
  7    3871866.0     1594223.0    2.43    0.01     0.01  
  8   2139690912.0  1563673919.0  1.37    2.68     2.68  
  9   2164144581.0  1474117457.0  1.47    4.40     4.40  
  10  1861229065.0  1868365542.0  1.00    2.23     2.23  
  11   15974877.0    5094891.0    3.14    0.02     0.02  
  12  2097063991.0  1864330099.0  1.12    2.50     2.50  
  13   16174311.0    4221998.0    3.83    0.03     0.03  
  14  2673201462.0  2734740253.0  0.98    3.96     3.96  
  15  2139452486.0  1468747808.0  1.46    4.84     4.84  
System 2155.16 (MHz) duration 30 (sec) CPU avg. 324.31%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   50870901974.0  77099116719.0  0.66   78.68    78.68  
  1   24184401097.0  35487570920.0  0.68   37.90    37.90  
  2   10269370786.0  12297274386.0  0.84   13.23    13.23  
  3   23794373920.0  35371740330.0  0.67   39.69    39.69  
  4   10585393137.0  11779811105.0  0.90   15.16    15.16  
  5   24178848464.0  35413636871.0  0.68   50.41    50.41  
  6    8432647347.0   9798197143.0  0.86   10.05    10.05  
